Time,Leistung (W)
21/12/2013 13:00,"741,5"
21/12/2013 13:15,"1.298,165"
21/12/2013 13:30,"1.220,0616"
21/12/2013 13:45,"357,0727"
21/12/2013 14:00,"553,7756"
21/12/2013 14:15,"811,0142"
21/12/2013 14:30,"896,8103"
21/12/2013 14:45,"559,0225"
21/12/2013 15:00,"463,0547"
21/12/2013 15:15,"329,37"
21/12/2013 15:30,"170,976"
21/12/2013 15:45,"81,9077"
21/12/2013 16:00,"1,0217"
21/12/2013 16:15,"0"
21/12/2013 16:30,"0,2584"
22/12/2013 08:00,"0"
22/12/2013 08:15,"0,3428"
22/12/2013 08:30,"96,0890"
22/12/2013 08:45,"385,0433"
22/12/2013 09:00,"570,458"
22/12/2013 09:15,"751,018"
22/12/2013 09:30,"1.575,6517"
22/12/2013 10:00,"4.772,2812"
22/12/2013 10:15,"4.826,4185"
22/12/2013 10:30,"4.676,4023"
22/12/2013 10:45,"4.001,574"
22/12/2013 11:00,"5.757,532"
22/12/2013 11:15,"3.223,6943"
22/12/2013 11:30,"4.210,4663"
22/12/2013 11:45,"9.068,452"
22/12/2013 12:00,"2.882,7734"
22/12/2013 12:15,"2.239,1484"
22/12/2013 12:30,"2.563,5298"
22/12/2013 12:45,"2.419,8174"
22/12/2013 13:00,"1.863,9409"
22/12/2013 13:15,"2.541,1167"
22/12/2013 13:30,"1.560,1267"
22/12/2013 13:45,"1.583,001"
22/12/2013 14:00,"1.766,4857"
22/12/2013 14:15,"1.854,9531"
22/12/2013 14:30,"1.361,4138"
22/12/2013 14:45,"1.092,0028"
22/12/2013 15:00,"937,6923"
22/12/2013 15:15,"617,7786"
22/12/2013 15:30,"476,9409"
22/12/2013 15:45,"251,4217"
22/12/2013 16:00,"64,1058"
22/12/2013 16:15,"0,8543"
22/12/2013 16:30,"0,2595"
22/12/2013 16:45,"0"
22/12/2013 17:00,"0"
